min_edge,n_bets,win_rate,units_1u,roi_1u,roi_kelly,reliable
0.0,246186,0.1071,36015.47,0.1463,0.0018,True
0.01,177209,0.1347,55111.94,0.311,0.0027,True
0.02,105715,0.17,41528.61,0.3928,0.004,True
0.03,57343,0.2067,23594.76,0.4115,0.0054,True
0.04,30978,0.2421,12421.9,0.401,0.0067,True
0.05,17642,0.2768,7032.77,0.3986,0.0081,True
0.06,10324,0.3119,4221.5,0.4089,0.0097,True
0.07,6232,0.3383,2374.47,0.381,0.0105,True
0.08,3747,0.368,1411.02,0.3766,0.0118,True
0.09,2248,0.3928,804.06,0.3577,0.0127,True
0.1,1329,0.4251,497.11,0.374,0.0145,True
